package,type,count
amaya_10.1~pre4+dfsg.0-2_amd64.log,num_stack_protector_all,0
amaya_10.1~pre4+dfsg.0-2_amd64.log,num_no_stack_protector,0
amb-plugins_0.8.1-4+b1_amd64.log,num_gcc,0
amb-plugins_0.8.1-4+b1_amd64.log,num_stack_protector,0
amb-plugins_0.8.1-4+b1_amd64.log,num_stack_protector_strong,0
amb-plugins_0.8.1-4+b1_amd64.log,num_stack_protector_all,0
amb-plugins_0.8.1-4+b1_amd64.log,num_no_stack_protector,0
amsn_0.98.9-1+b1_amd64.log,num_gcc,0
amsn_0.98.9-1+b1_amd64.log,num_stack_protector,0
amsn_0.98.9-1+b1_amd64.log,num_stack_protector_strong,0
amsn_0.98.9-1+b1_amd64.log,num_stack_protector_all,0
amsn_0.98.9-1+b1_amd64.log,num_no_stack_protector,0
amule_1:2.3.2-4+b1_amd64.log,num_gcc,11
amule_1:2.3.2-4+b1_amd64.log,num_stack_protector,0
amule_1:2.3.2-4+b1_amd64.log,num_stack_protector_strong,10
amule_1:2.3.2-4+b1_amd64.log,num_stack_protector_all,0
amule_1:2.3.2-4+b1_amd64.log,num_no_stack_protector,1
anacron_2.3-27_amd64.log,num_gcc,8
anacron_2.3-27_amd64.log,num_stack_protector,0
anacron_2.3-27_amd64.log,num_stack_protector_strong,7
anacron_2.3-27_amd64.log,num_stack_protector_all,0
anacron_2.3-27_amd64.log,num_no_stack_protector,1
anjuta_2:3.28.0-6_amd64.log,num_gcc,99
anjuta_2:3.28.0-6_amd64.log,num_stack_protector,0
anjuta_2:3.28.0-6_amd64.log,num_stack_protector_strong,99
anjuta_2:3.28.0-6_amd64.log,num_stack_protector_all,0
anjuta_2:3.28.0-6_amd64.log,num_no_stack_protector,0
ant_1.9.10-1_amd64.log,num_gcc,0
ant_1.9.10-1_amd64.log,num_stack_protector,0
ant_1.9.10-1_amd64.log,num_stack_protector_strong,0
ant_1.9.10-1_amd64.log,num_stack_protector_all,0
ant_1.9.10-1_amd64.log,num_no_stack_protector,0
anthy_1:0.3-8_amd64.log,num_gcc,16
anthy_1:0.3-8_amd64.log,num_stack_protector,0
anthy_1:0.3-8_amd64.log,num_stack_protector_strong,16
anthy_1:0.3-8_amd64.log,num_stack_protector_all,0
anthy_1:0.3-8_amd64.log,num_no_stack_protector,0
antlr3_3.0.1+dfsg-4_amd64.log,num_gcc,0
antlr3_3.0.1+dfsg-4_amd64.log,num_stack_protector,0
antlr3_3.0.1+dfsg-4_amd64.log,num_stack_protector_strong,0
antlr3_3.0.1+dfsg-4_amd64.log,num_stack_protector_all,0
antlr3_3.0.1+dfsg-4_amd64.log,num_no_stack_protector,0
antlr_2.7.7+dfsg-9.2_amd64.log,num_gcc,0
antlr_2.7.7+dfsg-9.2_amd64.log,num_stack_protector,0
antlr_2.7.7+dfsg-9.2_amd64.log,num_stack_protector_strong,0
antlr_2.7.7+dfsg-9.2_amd64.log,num_stack_protector_all,0
antlr_2.7.7+dfsg-9.2_amd64.log,num_no_stack_protector,0
apache2_2.4.38-2_amd64.log,num_gcc,0
apache2_2.4.38-2_amd64.log,num_stack_protector,0
apache2_2.4.38-2_amd64.log,num_stack_protector_strong,0
apache2_2.4.38-2_amd64.log,num_stack_protector_all,0
apache2_2.4.38-2_amd64.log,num_no_stack_protector,0
apg_2.2.3.dfsg.1-4+b1_amd64.log,num_gcc,2
apg_2.2.3.dfsg.1-4+b1_amd64.log,num_stack_protector,0
